100LTR         ,100 LTR VOLTAS FREEZER-TRAD             ,          ,          ,
110LTR         ,110 LTR LOTEMP HT FREEZER-TRAD          ,          ,          ,
1200LTR        ,1200 LTR B.STAR HT FREEZER-TRAD         ,          ,          ,
125,100 LTR VOLTAS FREEZER-TRAD             ,          ,          ,
125LTR         ,125 LTR ROCK WELL FRE.HT -TRAD          ,          ,          ,
150LTR         ,150 LTR FREEZER B.STAR HT-TRAD          ,          ,          ,
1B             ,Ic-ov 1l but.scotch caramel -u          ,210,21050000,
1BC            ,IC-OV IL BLACK CURRANT-U                ,          ,          ,
1BCL           ,IC-OV 1L BLACK CURRANT-L                ,          ,          ,
1BL            ,Ic-ov 1l but.scotch caramel-l           ,          ,21050000,
1BLU           ,OVIL BLUEBERY NFL TR-U                  ,          ,21050000,
1BLUL          ,OVIL BLUBERRY NFL TR-L                  ,          ,21050000,
1BS            ,Ic-ov 1l but.scotch caramel -S          ,          ,21050000,
1C             ,Ic-ov 1l  chocolate -u                  ,230,21050000,
1CL            ,Ic-ov 1l  chocolate -l                  ,230,21050000,
1CS            ,1C-OVIL CHOCOLATE-S                     ,          ,21050000,
1FH            ,IC-OVIL FIG AND HONEY-S                 ,          ,          ,
1FS            ,IN-IC FR.ORANGE-U-25 PCS                ,          ,          ,
1GS            ,PROMO2-OV.1L GARD STRAW NF 1-U          ,120,          ,
1GS L          ,PROMO2-OV.1L VERY STRAW NF T-L          ,          ,          ,
1GSL           ,PROMO2-OV.1L VERY STRAW NF T-L          ,          ,          ,
1IDL           ,OVIL ITALIAN DELI TR-L                  ,          ,21050000,
1JF            ,OVIL JACK FRUIT NFL TR-U                ,305,21050000,
1JFJT          ,Ovil jack fru.+jt til nat tr-l          ,305,21050000,
1JFJTL         ,Ov1l  jack  fru.+jt ten.co tr-l         ,          ,21050000,
1JFL           ,OVIL JACK FRUIT NFL TR-L                ,          ,21050000,
1LV            ,IC-IL VANILA-U                          ,          ,          ,
1LVL           ,IC-IL VANILA-L                          ,          ,          ,
1MFV           ,XMAS OVIL MA.ALP+SQ.FPV TR-L            ,          ,          ,
1NC            ,TRUFPK-1L NFL CHIKKU -TR-U              ,230,          ,
1NCL           ,TRUFPK-1L NFL CHIKKU -TR-U              ,230,          ,
1NM            ,TRUFPK-1L NFL MANG.AL..-TR-L            ,220,          ,
1NP            ,TRUFPK-1L NFL PINE APPLE-TR-U           ,          ,          ,
1NTC           ,TRUFPK-1L NFL TENDER COCO.-TR-U         ,290,          ,
1P             ,Ic ov1l  pistagreen-u                   ,210,21050000,
1PA            ,IC-OV 1L PAYASAM-U                      ,170,          ,
1PFP           ,IC OVIL PISTAGREEN+FP VANILA-U          ,          ,          ,
1PJ            ,IC-OV.1L PAYASAM+JT MAN.PR-U            ,170,          ,
1PJL           ,IC-OV.1L PAYASAM+JT MAN.RIPP.PR-L       ,          ,          ,
1pl            ,Ic  ov1l  pistagreen-l                  ,          ,21050000,
1PS            ,Ic ov1l  pistagreen-S                   ,          ,21050000,
1S             ,Ic- ov1l strawberry-u                   ,170,21050000,
1SD            ,1C-OV SPANISH DEL1-U                    ,          ,21050000,
1SL            ,Ic ov1l  strawberry-l                   ,          ,21050000,
1SS            ,Ic- ov1l strawberry-S                   ,          ,21050000,
1TCFV          ,XMAS OVIL TEN.COC+SQFP VA TR-S          ,          ,          ,
1TJF           ,Ovil ten.co+jt jack frut tr-u           ,305,21050000,
1TJFL          ,Ovil ten.co+jt jack fruit  tr-l         ,0,21050000,
1TN            ,Ov1l til naural tr-u                    ,230,21050000,
1V             ,Ic- ov1l vanila-u                       ,160,21050000,
1VL            ,Ic ov-1l vanila-l                       ,          ,21050000,
1VS            ,Ic- ov1l vanila-S                       ,          ,21050000,
200/220LFG     ,200/220 ltr flat glasstop-t             ,          ,8418,
200/220LH      ,200/220 ltr hardtop-t                   ,          ,84183010,
200/225LH      ,200/225 LTR HARDTOP OT                  ,          ,84183010,
200LTR         ,200 LTR B.STAR HT FREEZER-TRAD          ,          ,          ,
200LTR2D       ,200 LTR FR. LT.2 DOOR-TRADI             ,          ,          ,
200LTRG        ,200 LTR GLA TOP BLUE STAR-TRAD          ,          ,          ,
200LTRW        ,200LTR WESTERN FREE. HT-TRADI           ,          ,          ,
200LTRWGT      ,200LTR WESTERN FREE. GT-TRAD            ,          ,          ,
